,MonthlyIncomeRange,YearsWithCurrManager,YearsSinceLastPromotion,YearsInCurrentRole,YearsAtCompany,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,StockOptionLevel,RelationshipSatisfaction,PerformanceRating,PercentSalaryHike,OverTime,NumCompaniesWorked,MaritalStatus,JobSatisfaction,JobRole,JobLevel,JobInvolvement,Gender,EnvironmentSatisfaction,EducationField,Education,DistanceFromHome,Department,BusinessTravel,Age,Attrition,DailyRate,EmployeeCount,EmployeeNumber,HourlyRate,MonthlyIncome,MonthlyRate,Over18,StandardHours,Attrition2,AgeAttritionRate,BusinessTravelAttritionRate,DepartmentAttritionRate,DistanceFromHomeAttritionRate,EducationAttritionRate,EducationFieldAttritionRate,EnvironmentSatisfactionAttritionRate,GenderAttritionRate,JobInvolvementAttritionRate,JobLevelAttritionRate,JobRoleAttritionRate,JobSatisfactionAttritionRate,MaritalStatusAttritionRate,NumCompaniesWorkedAttritionRate,OverTimeAttritionRate,PercentSalaryHikeAttritionRate,PerformanceRatingAttritionRate,RelationshipSatisfactionAttritionRate,StockOptionLevelAttritionRate,TotalWorkingYearsAttritionRate,TrainingTimesLastYearAttritionRate,WorkLifeBalanceAttritionRate,YearsAtCompanyAttritionRate,YearsInCurrentRoleAttritionRate,YearsSinceLastPromotionAttritionRate,YearsWithCurrManagerAttritionRate,MonthlyIncomeRangeAttritionRate,TotalAttritionScore
764,3501 to 4000,2,0,2,4,3,2,7,1,2,3,16,No,2,Married,1,Research Scientist,1,3,Female,3,Technical Degree,3,1,Research & Development,Travel_Rarely,49,No,1418,1,887,36,3580,10554,Y,80,0,0.083333333,0.149568552,0.138397503,0.125,0.173076923,0.242424242,0.136865342,0.147959184,0.144009217,0.26335175,0.160958904,0.228373702,0.124814264,0.109589041,0.104364326,0.179487179,0.160771704,0.148514851,0.093959732,0.222222222,0.179159049,0.142217245,0.172727273,0.182795699,0.189328744,0.145348837,0.128571429,4.3
765,3501 to 4000,2,0,1,3,2,2,17,1,1,3,14,No,2,Married,1,Research Scientist,1,2,Female,3,Medical,2,1,Research & Development,Travel_Rarely,37,No,1017,1,340,83,3920,18697,Y,80,0,0.12,0.149568552,0.138397503,0.125,0.156028369,0.135775862,0.136865342,0.147959184,0.189333333,0.26335175,0.160958904,0.228373702,0.124814264,0.109589041,0.104364326,0.119402985,0.160771704,0.206521739,0.093959732,0.090909091,0.179159049,0.168604651,0.15625,0.192982456,0.189328744,0.145348837,0.128571429,4.1
766,3501 to 4000,8,5,8,9,3,5,9,1,4,4,21,No,1,Married,3,Sales Representative,2,2,Female,2,Medical,1,23,Sales,Travel_Rarely,27,No,728,1,1864,36,3540,7018,Y,80,0,0.0625,0.149568552,0.206278027,0.185185185,0.182352941,0.135775862,0.149825784,0.147959184,0.189333333,0.097378277,0.397590361,0.165158371,0.124814264,0.188099808,0.104364326,0.104166667,0.163716814,0.148148148,0.093959732,0.104166667,0.117647059,0.142217245,0.097560976,0.078651685,0.044444444,0.093457944,0.128571429,3.8
767,3501 to 4000,2,2,2,2,3,2,7,3,2,3,14,No,8,Divorced,4,Research Scientist,2,3,Male,4,Other,4,19,Research & Development,Travel_Rarely,39,No,835,1,1871,41,3902,5141,Y,80,0,0.142857143,0.149568552,0.138397503,0.136363636,0.145728643,0.134146341,0.134529148,0.170068027,0.144009217,0.097378277,0.160958904,0.11328976,0.100917431,0.12244898,0.104364326,0.119402985,0.160771704,0.148514851,0.176470588,0.222222222,0.179159049,0.142217245,0.212598425,0.182795699,0.169811321,0.145348837,0.128571429,4
768,3501 to 4000,3,1,3,5,3,2,6,2,1,3,16,No,1,Married,1,Laboratory Technician,1,2,Male,1,Medical,2,1,Research & Development,Travel_Rarely,26,No,192,1,1083,59,3955,11141,Y,80,0,0.307692308,0.149568552,0.138397503,0.125,0.156028369,0.135775862,0.253521127,0.170068027,0.189333333,0.26335175,0.239382239,0.228373702,0.124814264,0.188099808,0.104364326,0.179487179,0.160771704,0.206521739,0.075949367,0.176,0.179159049,0.142217245,0.107142857,0.118518519,0.137254902,0.133802817,0.128571429,4.5
769,3501 to 4000,2,0,4,5,3,5,8,0,4,3,11,No,8,Married,2,Laboratory Technician,1,2,Female,1,Medical,4,4,Research & Development,Travel_Rarely,33,No,1099,1,1502,82,3838,8192,Y,80,0,0.206896552,0.149568552,0.138397503,0.140625,0.145728643,0.135775862,0.253521127,0.147959184,0.189333333,0.26335175,0.239382239,0.164285714,0.124814264,0.12244898,0.104364326,0.195238095,0.160771704,0.148148148,0.244057052,0.155339806,0.117647059,0.142217245,0.107142857,0.144230769,0.189328744,0.145348837,0.128571429,4.4
770,3501 to 4000,7,6,2,10,3,5,10,0,2,4,22,Yes,1,Single,1,Research Scientist,1,1,Female,2,Life Sciences,1,16,Research & Development,Travel_Frequently,32,Yes,1125,1,33,72,3919,4681,Y,80,1,0.180327869,0.249097473,0.138397503,0.21875,0.182352941,0.146864686,0.149825784,0.147959184,0.337349398,0.26335175,0.160958904,0.228373702,0.255319149,0.188099808,0.305288462,0.214285714,0.163716814,0.148514851,0.244057052,0.123762376,0.117647059,0.142217245,0.15,0.182795699,0.1875,0.143518519,0.128571429,5.1
771,3501 to 4000,2,0,2,2,3,3,2,0,4,3,18,No,1,Single,3,Research Scientist,1,4,Male,1,Medical,1,10,Research & Development,Travel_Rarely,23,No,310,1,784,79,3505,19630,Y,80,0,0.285714286,0.149568552,0.138397503,0.127906977,0.182352941,0.135775862,0.253521127,0.170068027,0.090277778,0.26335175,0.160958904,0.165158371,0.255319149,0.188099808,0.104364326,0.146067416,0.160771704,0.148148148,0.244057052,0.290322581,0.140529532,0.142217245,0.212598425,0.182795699,0.189328744,0.145348837,0.128571429,4.8
772,3501 to 4000,8,1,7,9,3,5,10,0,2,3,13,No,0,Single,4,Human Resources,1,3,Male,2,Life Sciences,3,2,Human Resources,Travel_Rarely,43,No,244,1,1778,97,3539,5033,Y,80,0,0.0625,0.149568552,0.19047619,0.132701422,0.173076923,0.146864686,0.149825784,0.170068027,0.144009217,0.26335175,0.230769231,0.11328976,0.255319149,0.116751269,0.104364326,0.162679426,0.160771704,0.148514851,0.244057052,0.123762376,0.117647059,0.142217245,0.097560976,0.13963964,0.137254902,0.093457944,0.128571429,4.1
773,3501 to 4000,2,0,2,3,3,0,5,0,1,3,17,No,7,Married,3,Research Scientist,1,4,Female,2,Medical,3,8,Research & Development,Travel_Rarely,27,No,486,1,1647,86,3517,22490,Y,80,0,0.0625,0.149568552,0.138397503,0.125,0.173076923,0.135775862,0.149825784,0.147959184,0.090277778,0.26335175,0.160958904,0.165158371,0.124814264,0.22972973,0.104364326,0.170731707,0.160771704,0.206521739,0.244057052,0.181818182,0.277777778,0.142217245,0.15625,0.182795699,0.189328744,0.145348837,0.128571429,4.4
774,3501 to 4000,8,0,8,9,3,2,9,1,3,3,15,Yes,1,Married,1,Laboratory Technician,2,3,Male,4,Life Sciences,2,23,Research & Development,Non-Travel,45,No,248,1,1002,42,3633,14039,Y,80,0,0.048780488,0.08,0.138397503,0.185185185,0.156028369,0.146864686,0.134529148,0.170068027,0.144009217,0.097378277,0.239382239,0.228373702,0.124814264,0.188099808,0.305288462,0.178217822,0.160771704,0.154684096,0.093959732,0.104166667,0.179159049,0.142217245,0.097560976,0.078651685,0.189328744,0.093457944,0.128571429,4
775,3501 to 4000,7,0,7,8,4,2,11,2,3,3,11,No,3,Divorced,3,Laboratory Technician,2,3,Male,3,Other,4,9,Research & Development,Non-Travel,40,No,663,1,1449,81,3975,23099,Y,80,0,0.087719298,0.08,0.138397503,0.211764706,0.145728643,0.134146341,0.136865342,0.170068027,0.144009217,0.097378277,0.239382239,0.165158371,0.100917431,0.100628931,0.104364326,0.195238095,0.160771704,0.154684096,0.075949367,0.194444444,0.179159049,0.176470588,0.1125,0.13963964,0.189328744,0.143518519,0.128571429,3.9
776,3501 to 4000,3,0,2,5,3,2,6,0,1,3,13,No,0,Single,1,Research Scientist,1,3,Male,3,Medical,3,23,Research & Development,Travel_Rarely,39,Yes,360,1,1310,93,3904,22154,Y,80,1,0.142857143,0.149568552,0.138397503,0.185185185,0.173076923,0.135775862,0.136865342,0.170068027,0.144009217,0.26335175,0.160958904,0.228373702,0.255319149,0.116751269,0.104364326,0.162679426,0.160771704,0.206521739,0.244057052,0.176,0.179159049,0.142217245,0.107142857,0.182795699,0.189328744,0.133802817,0.128571429,4.5
777,3501 to 4000,2,1,2,4,3,1,8,1,4,3,12,No,5,Divorced,2,Research Scientist,1,2,Male,1,Technical Degree,3,22,Research & Development,Travel_Rarely,55,No,1441,1,1694,94,3537,23737,Y,80,0,0.136363636,0.149568552,0.138397503,0.315789474,0.173076923,0.242424242,0.253521127,0.170068027,0.189333333,0.26335175,0.160958904,0.164285714,0.100917431,0.253968254,0.104364326,0.166666667,0.160771704,0.148148148,0.093959732,0.155339806,0.126760563,0.142217245,0.172727273,0.182795699,0.137254902,0.145348837,0.128571429,4.6
778,3501 to 4000,3,0,4,5,2,3,10,1,2,3,12,No,9,Divorced,4,Research Scientist,1,2,Male,2,Life Sciences,4,5,Research & Development,Travel_Frequently,30,No,1012,1,861,75,3761,2373,Y,80,0,0.15,0.249097473,0.138397503,0.153846154,0.145728643,0.146864686,0.149825784,0.170068027,0.189333333,0.26335175,0.160958904,0.11328976,0.100917431,0.230769231,0.104364326,0.166666667,0.160771704,0.148514851,0.093959732,0.123762376,0.140529532,0.168604651,0.107142857,0.144230769,0.189328744,0.133802817,0.128571429,4.2
779,3501 to 4000,2,0,2,4,3,0,7,1,3,4,23,Yes,8,Married,4,Research Scientist,1,3,Female,3,Medical,1,12,Research & Development,Travel_Rarely,31,No,140,1,246,95,3929,6984,Y,80,0,0.260869565,0.149568552,0.138397503,0.3,0.182352941,0.135775862,0.136865342,0.147959184,0.144009217,0.26335175,0.160958904,0.11328976,0.124814264,0.12244898,0.305288462,0.214285714,0.163716814,0.154684096,0.093959732,0.222222222,0.277777778,0.142217245,0.172727273,0.182795699,0.189328744,0.145348837,0.128571429,4.8
780,3501 to 4000,2,1,2,3,2,6,7,3,3,3,11,No,3,Married,4,Laboratory Technician,1,3,Male,4,Medical,1,19,Research & Development,Travel_Rarely,25,No,882,1,1358,67,3669,9075,Y,80,0,0.230769231,0.149568552,0.138397503,0.136363636,0.182352941,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.11328976,0.124814264,0.100628931,0.104364326,0.195238095,0.160771704,0.154684096,0.176470588,0.222222222,0.092307692,0.168604651,0.15625,0.182795699,0.137254902,0.145348837,0.128571429,4.3
781,3501 to 4000,3,1,3,6,3,2,6,0,3,3,13,Yes,1,Single,4,Research Scientist,1,3,Female,1,Technical Degree,1,2,Research & Development,Travel_Frequently,24,No,567,1,1646,32,3760,17218,Y,80,0,0.269230769,0.249097473,0.138397503,0.132701422,0.182352941,0.242424242,0.253521127,0.147959184,0.144009217,0.26335175,0.160958904,0.11328976,0.255319149,0.188099808,0.305288462,0.162679426,0.160771704,0.154684096,0.244057052,0.176,0.179159049,0.142217245,0.118421053,0.118518519,0.137254902,0.133802817,0.128571429,4.9
782,3501 to 4000,2,2,2,2,2,0,4,1,2,3,12,No,8,Divorced,3,Laboratory Technician,1,4,Female,1,Medical,3,4,Research & Development,Travel_Rarely,31,No,471,1,1916,62,3978,16031,Y,80,0,0.260869565,0.149568552,0.138397503,0.140625,0.173076923,0.135775862,0.253521127,0.147959184,0.090277778,0.26335175,0.239382239,0.165158371,0.100917431,0.12244898,0.104364326,0.166666667,0.160771704,0.148514851,0.093959732,0.19047619,0.277777778,0.168604651,0.212598425,0.182795699,0.169811321,0.145348837,0.128571429,4.5
783,3501 to 4000,8,5,9,12,3,3,12,0,3,3,13,No,1,Single,4,Laboratory Technician,1,3,Female,1,Medical,2,9,Research & Development,Travel_Frequently,42,No,748,1,1480,74,3673,16458,Y,80,0,0.043478261,0.249097473,0.138397503,0.211764706,0.156028369,0.135775862,0.253521127,0.147959184,0.144009217,0.26335175,0.239382239,0.11328976,0.255319149,0.188099808,0.104364326,0.162679426,0.160771704,0.154684096,0.244057052,0.104166667,0.140529532,0.142217245,0,0.089552239,0.044444444,0.093457944,0.128571429,4.1
784,3501 to 4000,6,5,7,7,4,3,7,1,2,3,15,Yes,1,Married,4,Laboratory Technician,1,3,Male,4,Technical Degree,1,4,Research & Development,Travel_Rarely,25,Yes,1219,1,1106,32,3691,4605,Y,80,1,0.230769231,0.149568552,0.138397503,0.140625,0.182352941,0.242424242,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.11328976,0.124814264,0.188099808,0.305288462,0.178217822,0.160771704,0.148514851,0.093959732,0.222222222,0.140529532,0.176470588,0.122222222,0.13963964,0.044444444,0.137931034,0.128571429,4.5
785,3501 to 4000,3,1,5,6,3,3,6,1,4,3,13,Yes,1,Married,4,Research Scientist,1,2,Male,2,Life Sciences,2,1,Research & Development,Travel_Rarely,34,No,254,1,649,83,3622,22794,Y,80,0,0.116883117,0.149568552,0.138397503,0.125,0.156028369,0.146864686,0.149825784,0.170068027,0.189333333,0.26335175,0.160958904,0.11328976,0.124814264,0.188099808,0.305288462,0.162679426,0.160771704,0.148148148,0.093959732,0.176,0.140529532,0.142217245,0.118421053,0.027777778,0.137254902,0.133802817,0.128571429,4.1
786,3501 to 4000,8,0,1,10,2,2,10,0,4,4,21,No,1,Single,4,Human Resources,2,2,Male,2,Human Resources,1,2,Human Resources,Travel_Frequently,36,No,1213,1,1890,94,3886,4223,Y,80,0,0.086956522,0.249097473,0.19047619,0.132701422,0.182352941,0.259259259,0.149825784,0.170068027,0.189333333,0.097378277,0.230769231,0.11328976,0.255319149,0.188099808,0.104364326,0.104166667,0.163716814,0.148148148,0.244057052,0.123762376,0.179159049,0.168604651,0.15,0.192982456,0.189328744,0.093457944,0.128571429,4.5
787,3501 to 4000,7,1,8,12,2,6,12,0,3,3,13,No,1,Married,2,Laboratory Technician,1,3,Male,4,Medical,2,1,Research & Development,Travel_Rarely,30,No,911,1,1989,76,3748,4077,Y,80,0,0.15,0.149568552,0.138397503,0.125,0.156028369,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.164285714,0.124814264,0.188099808,0.104364326,0.162679426,0.160771704,0.154684096,0.244057052,0.104166667,0.092307692,0.168604651,0,0.078651685,0.137254902,0.143518519,0.128571429,4
788,3501 to 4000,2,0,2,3,2,2,5,1,4,3,15,No,2,Married,3,Laboratory Technician,1,2,Male,3,Medical,3,1,Research & Development,Travel_Rarely,50,No,328,1,249,86,3690,3425,Y,80,0,0.166666667,0.149568552,0.138397503,0.125,0.173076923,0.135775862,0.136865342,0.170068027,0.189333333,0.26335175,0.239382239,0.165158371,0.124814264,0.109589041,0.104364326,0.178217822,0.160771704,0.148148148,0.093959732,0.181818182,0.179159049,0.168604651,0.15625,0.182795699,0.189328744,0.145348837,0.128571429,4.3
789,3501 to 4000,7,7,4,8,1,2,8,1,1,3,11,No,1,Married,2,Research Scientist,1,3,Female,2,Medical,3,10,Research & Development,Travel_Rarely,37,No,1470,1,1640,71,3936,9953,Y,80,0,0.12,0.149568552,0.138397503,0.127906977,0.173076923,0.135775862,0.149825784,0.147959184,0.144009217,0.26335175,0.160958904,0.164285714,0.124814264,0.188099808,0.104364326,0.195238095,0.160771704,0.206521739,0.093959732,0.155339806,0.179159049,0.3125,0.1125,0.144230769,0.210526316,0.143518519,0.128571429,4.3
790,3501 to 4000,7,5,9,11,3,2,12,1,1,4,21,Yes,0,Married,2,Research Scientist,1,3,Male,4,Medical,3,1,Research & Development,Travel_Rarely,30,No,1465,1,1241,63,3579,9369,Y,80,0,0.15,0.149568552,0.138397503,0.125,0.173076923,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.160958904,0.164285714,0.124814264,0.116751269,0.305288462,0.104166667,0.163716814,0.206521739,0.093959732,0.104166667,0.179159049,0.142217245,0.0625,0.089552239,0.044444444,0.143518519,0.128571429,3.9
791,3501 to 4000,2,2,2,3,3,3,4,0,4,3,14,Yes,0,Married,3,Research Scientist,1,3,Male,3,Life Sciences,1,6,Research & Development,Travel_Rarely,35,No,735,1,1291,66,3506,6020,Y,80,0,0.128205128,0.149568552,0.138397503,0.118644068,0.182352941,0.146864686,0.136865342,0.170068027,0.144009217,0.26335175,0.160958904,0.165158371,0.124814264,0.116751269,0.305288462,0.119402985,0.160771704,0.148148148,0.244057052,0.19047619,0.140529532,0.142217245,0.15625,0.182795699,0.169811321,0.145348837,0.128571429,4.4
792,3501 to 4000,2,2,2,3,3,2,4,0,3,3,17,No,0,Single,4,Laboratory Technician,1,2,Male,2,Other,5,9,Research & Development,Travel_Rarely,29,No,738,1,455,30,3983,7621,Y,80,0,0.264705882,0.149568552,0.138397503,0.211764706,0.104166667,0.134146341,0.149825784,0.170068027,0.189333333,0.26335175,0.239382239,0.11328976,0.255319149,0.116751269,0.104364326,0.170731707,0.160771704,0.154684096,0.244057052,0.19047619,0.179159049,0.142217245,0.15625,0.182795699,0.169811321,0.145348837,0.128571429,4.6
793,3501 to 4000,7,0,7,7,3,2,8,0,4,3,12,No,0,Single,1,Laboratory Technician,1,4,Male,3,Other,3,7,Research & Development,Travel_Rarely,26,No,652,1,1417,100,3578,23577,Y,80,0,0.307692308,0.149568552,0.138397503,0.130952381,0.173076923,0.134146341,0.136865342,0.170068027,0.090277778,0.26335175,0.239382239,0.228373702,0.255319149,0.116751269,0.104364326,0.166666667,0.160771704,0.148148148,0.244057052,0.155339806,0.179159049,0.142217245,0.122222222,0.13963964,0.189328744,0.143518519,0.128571429,4.6
794,3501 to 4000,2,0,2,2,2,2,7,1,3,3,19,Yes,6,Divorced,3,Laboratory Technician,1,3,Male,4,Other,1,2,Research & Development,Travel_Rarely,25,No,977,1,1992,57,3977,7298,Y,80,0,0.230769231,0.149568552,0.138397503,0.132701422,0.182352941,0.134146341,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.165158371,0.100917431,0.228571429,0.305288462,0.118421053,0.160771704,0.154684096,0.093959732,0.222222222,0.179159049,0.168604651,0.212598425,0.182795699,0.189328744,0.145348837,0.128571429,4.7
795,3501 to 4000,4,0,2,5,3,2,5,1,2,3,11,No,1,Divorced,2,Laboratory Technician,1,3,Male,4,Medical,2,1,Research & Development,Travel_Rarely,27,No,1469,1,497,82,3816,17881,Y,80,0,0.0625,0.149568552,0.138397503,0.125,0.156028369,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.164285714,0.100917431,0.188099808,0.104364326,0.195238095,0.160771704,0.148514851,0.093959732,0.181818182,0.179159049,0.142217245,0.107142857,0.182795699,0.189328744,0.112244898,0.128571429,4.1
796,3501 to 4000,0,0,0,1,3,2,4,2,4,3,18,No,4,Married,4,Laboratory Technician,1,4,Male,3,Life Sciences,4,18,Research & Development,Travel_Frequently,36,No,566,1,407,81,3688,7122,Y,80,0,0.086956522,0.249097473,0.138397503,0.153846154,0.145728643,0.146864686,0.136865342,0.170068027,0.090277778,0.26335175,0.239382239,0.11328976,0.124814264,0.122302158,0.104364326,0.146067416,0.160771704,0.148148148,0.075949367,0.19047619,0.179159049,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.128571429,4.6
797,3501 to 4000,2,1,2,2,3,3,4,0,3,3,16,No,5,Single,3,Laboratory Technician,1,2,Male,3,Technical Degree,1,4,Research & Development,Travel_Frequently,22,Yes,1368,1,593,99,3894,9129,Y,80,1,0.3125,0.249097473,0.138397503,0.140625,0.182352941,0.242424242,0.136865342,0.170068027,0.189333333,0.26335175,0.239382239,0.165158371,0.255319149,0.253968254,0.104364326,0.179487179,0.160771704,0.154684096,0.244057052,0.19047619,0.140529532,0.142217245,0.212598425,0.182795699,0.137254902,0.145348837,0.128571429,5.1
798,3501 to 4000,2,2,2,2,3,2,2,1,2,3,12,Yes,1,Married,4,Laboratory Technician,1,2,Male,4,Life Sciences,3,2,Research & Development,Travel_Frequently,28,No,193,1,1296,52,3867,14222,Y,80,0,0.291666667,0.249097473,0.138397503,0.132701422,0.173076923,0.146864686,0.134529148,0.170068027,0.189333333,0.26335175,0.239382239,0.11328976,0.124814264,0.188099808,0.305288462,0.166666667,0.160771704,0.148514851,0.093959732,0.290322581,0.179159049,0.142217245,0.212598425,0.182795699,0.169811321,0.145348837,0.128571429,4.9
799,3501 to 4000,10,3,8,11,4,3,11,0,2,3,13,No,1,Married,4,Laboratory Technician,1,3,Male,4,Medical,1,20,Research & Development,Travel_Frequently,29,No,574,1,1852,40,3812,7003,Y,80,0,0.264705882,0.249097473,0.138397503,0.16,0.182352941,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.11328976,0.124814264,0.188099808,0.104364326,0.162679426,0.160771704,0.148514851,0.244057052,0.194444444,0.140529532,0.176470588,0.0625,0.078651685,0.173076923,0.111111111,0.128571429,4.4
800,3501 to 4000,0,0,0,1,3,3,19,0,3,3,11,No,7,Single,3,Laboratory Technician,2,3,Female,3,Life Sciences,4,8,Research & Development,Travel_Rarely,54,No,548,1,578,42,3780,23428,Y,80,0,0,0.149568552,0.138397503,0.125,0.145728643,0.146864686,0.136865342,0.147959184,0.144009217,0.097378277,0.239382239,0.165158371,0.255319149,0.22972973,0.104364326,0.195238095,0.160771704,0.154684096,0.244057052,0.136363636,0.140529532,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.128571429,4.7
801,3501 to 4000,0,0,1,1,3,2,3,1,4,3,14,Yes,8,Divorced,2,Research Scientist,1,3,Male,4,Medical,4,9,Research & Development,Travel_Frequently,40,No,1469,1,964,35,3617,25063,Y,80,0,0.087719298,0.249097473,0.138397503,0.211764706,0.145728643,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.160958904,0.164285714,0.100917431,0.12244898,0.305288462,0.119402985,0.160771704,0.148148148,0.093959732,0.214285714,0.179159049,0.142217245,0.34502924,0.192982456,0.189328744,0.323193916,0.128571429,4.8
802,3501 to 4000,2,2,2,2,3,2,4,1,4,3,15,No,7,Married,2,Sales Representative,1,3,Male,4,Marketing,4,8,Sales,Travel_Rarely,50,No,316,1,738,54,3875,9983,Y,80,0,0.166666667,0.149568552,0.206278027,0.125,0.145728643,0.220125786,0.134529148,0.170068027,0.144009217,0.26335175,0.397590361,0.164285714,0.124814264,0.22972973,0.104364326,0.178217822,0.160771704,0.148148148,0.093959732,0.19047619,0.179159049,0.142217245,0.212598425,0.182795699,0.169811321,0.145348837,0.128571429,4.7
803,3501 to 4000,2,1,2,3,1,2,4,0,4,3,14,Yes,0,Single,3,Laboratory Technician,1,2,Male,4,Life Sciences,3,1,Research & Development,Travel_Rarely,32,Yes,515,1,331,62,3730,9571,Y,80,1,0.180327869,0.149568552,0.138397503,0.125,0.173076923,0.146864686,0.134529148,0.170068027,0.189333333,0.26335175,0.239382239,0.165158371,0.255319149,0.116751269,0.305288462,0.119402985,0.160771704,0.148148148,0.244057052,0.19047619,0.179159049,0.3125,0.15625,0.182795699,0.137254902,0.145348837,0.128571429,4.9
804,3501 to 4000,2,1,2,3,3,3,3,1,3,4,25,No,1,Married,1,Research Scientist,1,3,Female,3,Medical,3,1,Research & Development,Travel_Rarely,28,No,1217,1,1834,67,3591,12719,Y,80,0,0.291666667,0.149568552,0.138397503,0.125,0.173076923,0.135775862,0.136865342,0.147959184,0.144009217,0.26335175,0.160958904,0.228373702,0.124814264,0.188099808,0.104364326,0.055555556,0.163716814,0.154684096,0.093959732,0.214285714,0.140529532,0.142217245,0.15625,0.182795699,0.137254902,0.145348837,0.128571429,4.2
805,3501 to 4000,2,1,3,4,3,5,6,1,1,3,11,No,2,Married,2,Sales Representative,1,3,Female,3,Life Sciences,2,4,Sales,Travel_Rarely,32,No,1401,1,330,56,3931,20990,Y,80,0,0.180327869,0.149568552,0.206278027,0.140625,0.156028369,0.146864686,0.136865342,0.147959184,0.144009217,0.26335175,0.397590361,0.164285714,0.124814264,0.109589041,0.104364326,0.195238095,0.160771704,0.206521739,0.093959732,0.176,0.117647059,0.142217245,0.172727273,0.118518519,0.137254902,0.145348837,0.128571429,4.4
806,3501 to 4000,0,2,3,5,4,4,5,1,4,3,17,Yes,1,Divorced,3,Research Scientist,1,3,Male,4,Medical,4,10,Research & Development,Travel_Frequently,34,No,878,1,277,43,3815,5972,Y,80,0,0.116883117,0.249097473,0.138397503,0.127906977,0.145728643,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.160958904,0.165158371,0.100917431,0.188099808,0.305288462,0.170731707,0.160771704,0.148148148,0.093959732,0.181818182,0.211382114,0.176470588,0.107142857,0.118518519,0.169811321,0.323193916,0.128571429,4.5
807,3501 to 4000,0,0,0,1,4,2,11,0,2,4,23,Yes,2,Single,1,Laboratory Technician,1,2,Female,1,Life Sciences,3,2,Research & Development,Non-Travel,39,Yes,592,1,1458,54,3646,17181,Y,80,1,0.142857143,0.08,0.138397503,0.132701422,0.173076923,0.146864686,0.253521127,0.147959184,0.189333333,0.26335175,0.239382239,0.228373702,0.255319149,0.109589041,0.305288462,0.214285714,0.163716814,0.148514851,0.244057052,0.194444444,0.179159049,0.176470588,0.34502924,0.299180328,0.189328744,0.323193916,0.128571429,5.4
808,3501 to 4000,2,0,2,3,3,6,8,0,1,3,18,No,4,Single,3,Laboratory Technician,1,3,Female,1,Medical,3,11,Research & Development,Travel_Rarely,37,No,1462,1,1411,94,3629,19106,Y,80,0,0.12,0.149568552,0.138397503,0.137931034,0.173076923,0.135775862,0.253521127,0.147959184,0.144009217,0.26335175,0.239382239,0.165158371,0.255319149,0.122302158,0.104364326,0.146067416,0.160771704,0.206521739,0.244057052,0.155339806,0.092307692,0.142217245,0.15625,0.182795699,0.189328744,0.145348837,0.128571429,4.5
809,3501 to 4000,2,1,3,4,3,2,6,0,4,4,22,No,8,Single,2,Laboratory Technician,1,3,Male,4,Medical,3,24,Research & Development,Travel_Rarely,24,No,477,1,1173,49,3597,6409,Y,80,0,0.269230769,0.149568552,0.138397503,0.428571429,0.173076923,0.135775862,0.134529148,0.170068027,0.144009217,0.26335175,0.239382239,0.164285714,0.255319149,0.12244898,0.104364326,0.214285714,0.163716814,0.148148148,0.244057052,0.176,0.179159049,0.142217245,0.172727273,0.118518519,0.137254902,0.145348837,0.128571429,4.9
810,3501 to 4000,4,0,4,5,3,3,5,1,2,3,11,No,1,Married,3,Laboratory Technician,1,2,Female,4,Other,2,6,Research & Development,Travel_Rarely,38,No,1153,1,1782,40,3702,16376,Y,80,0,0.034482759,0.149568552,0.138397503,0.118644068,0.156028369,0.134146341,0.134529148,0.147959184,0.189333333,0.26335175,0.239382239,0.165158371,0.124814264,0.188099808,0.104364326,0.195238095,0.160771704,0.148514851,0.093959732,0.181818182,0.140529532,0.142217245,0.107142857,0.144230769,0.189328744,0.112244898,0.128571429,4
811,3501 to 4000,2,0,2,3,1,1,4,1,3,3,19,No,0,Married,4,Human Resources,1,3,Male,3,Human Resources,2,3,Human Resources,Travel_Rarely,34,No,829,1,847,88,3737,2243,Y,80,0,0.116883117,0.149568552,0.19047619,0.166666667,0.156028369,0.259259259,0.136865342,0.170068027,0.144009217,0.26335175,0.230769231,0.11328976,0.124814264,0.116751269,0.104364326,0.118421053,0.160771704,0.154684096,0.093959732,0.19047619,0.126760563,0.3125,0.15625,0.182795699,0.189328744,0.145348837,0.128571429,4.4
